PLAYERS,TEAM,GP,MIN,Salary,OFFRTG,DEFRTG,NETRTG,AST%,ASTTO,ASTRATIO,OREB%,DREB%,REB%,TOV%,EFG%,TS%,USG%,PACE,PIE,TotalRTG
Jrue Holiday,Celtics,69,32.8,36861707,120.6,110.9,9.7,19.6,2.69,28.3,3.8,11.7,7.9,10.5,58.1,59.7,16.1,98.91,9.9,231.5
Derrick White,Celtics,73,32.6,18357143,122.4,109.9,12.5,20.9,3.37,27.1,2.2,10,6.3,8.1,57.8,61.1,18.3,99.48,10.6,232.3
Kristaps Porzingis,Celtics,57,29.6,36016200,120.8,109.6,11.2,9.8,1.29,10.6,5.9,16.3,11.5,8.2,58.9,64.7,24.7,100.55,13.8,230.4
Al Horford,Celtics,65,26.8,10000000,120.9,109.5,11.4,12.4,3.5,25.9,4.8,17.8,11.6,7.4,64,65,11.9,98.77,10.5,230.4
Payton Pritchard,Celtics,82,22.3,4037277,122.8,109.2,13.6,20.8,4.61,28,3.8,10.3,7.1,6.1,58.3,59.7,16.8,97.16,10.3,232
Sam Hauser,Celtics,79,22,1927896,121.3,107.1,14.2,6.2,2.56,12.1,2.5,12.2,7.5,4.7,62.3,62.9,14.6,98.48,8.6,228.4
James Harden,Clippers,72,34.3,35640000,120.9,115.2,5.6,33.8,3.32,35.1,1.5,13.4,7.7,10.6,54.1,61.2,20.2,96.87,13.1,236.1
Kawhi Leonard,Clippers,68,34.3,45640084,119.3,111.1,8.2,16.5,2.05,14.9,3.9,13.8,9.1,7.3,58.5,62.6,26.1,97.77,15.4,230.4
Paul George,Clippers,74,33.8,45640084,121.2,112.1,9.1,15.7,1.71,14.8,1.6,13.8,8,8.7,56.9,61.3,26.4,97.47,12.6,233.3
Ivica Zubac,Clippers,68,26.4,10933333,117.1,112.4,4.7,7.5,1.18,12.1,11.7,23.5,17.9,10.3,64.9,67.1,16.5,96.89,12.5,229.5
Norman Powell,Clippers,76,26.2,18000000,118,113,5.1,5.9,1.24,8.3,0.8,8.5,4.8,6.7,59.4,62.6,19.3,100.37,8.7,231
Terance Mann,Clippers,75,25,10576923,116.7,114.8,1.9,8.6,2.48,17,5,8.8,7,6.8,58.7,61.5,13.5,97.71,7.1,231.5
Russell Westbrook,Clippers,68,22.5,3835738,116.5,112.8,3.7,28.5,2.13,25.8,6.2,15.4,10.9,12.2,48.6,51.4,23.9,102.17,11.3,229.3
